Simulation_ID,S0,K,T,r,sigma_v,Up-and-In_Call,Up-and-Out_Call,European_Lookback_Call,Asian_Call,Double_Barrier_Call,Delta,Gamma,Theta,Vega,Rho
830,99.734246,83.840854,1.167709,0.028319,0.116341,0.066028,19.195800,19.297147,17.558554,19.195800,0.999773,0.000008,-2.300968,0.032473,94.683976
831,69.926659,102.732749,0.391492,0.028457,0.204260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000528,0.000182,-0.020091,0.071624,0.013886
832,81.188922,103.401203,1.289948,0.034797,0.224125,0.053000,0.037018,0.120637,0.003963,0.000000,0.026866,0.004020,-0.295514,4.256506,2.594376
833,105.168185,88.906122,1.431073,0.027947,0.217449,9.232202,11.438101,20.692480,18.430710,11.438101,0.999756,0.000007,-2.391382,0.039457,122.194146
834,128.801895,116.781092,0.602638,0.033367,0.257845,14.561389,0.000000,14.630831,13.250762,0.000000,0.999743,0.000012,-3.825261,0.032230,68.952852
835,82.503692,127.049418,1.725740,0.014020,0.203489,0.000000,0.000000,0.000000,0.000000,0.000000,0.003234,0.000430,-0.040451,0.772772,0.417984
836,123.079699,98.310847,1.190771,0.017297,0.293830,27.338247,0.000000,27.523156,26.001386,0.000000,0.999823,0.000007,-1.669656,0.034839,114.648090
837,121.535644,79.764996,1.415855,0.044136,0.282921,49.433149,0.000000,49.474919,45.504562,0.000000,0.999903,0.000003,-3.309867,0.024751,106.073409
838,122.362058,99.059889,1.703682,0.015639,0.223616,26.472696,0.000000,26.625026,24.830715,0.000000,0.999772,0.000005,-1.512927,0.048300,164.265287
839,70.052788,95.304529,0.585695,0.013671,0.274133,0.000000,0.007845,0.011669,0.000000,0.000000,0.006433,0.001408,-0.140591,0.784392,0.248126
840,76.907622,115.796573,0.322226,0.047111,0.230670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000176,0.000063,-0.009459,0.025946,0.004210
841,59.481049,84.596634,0.324954,0.016923,0.208026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000485,0.000221,-0.017129,0.052092,0.009051
842,87.330897,126.786897,0.836249,0.035763,0.184779,0.000000,0.000000,0.000000,0.000000,0.000000,0.004013,0.000718,-0.094047,0.778178,0.275308
843,138.487497,109.090628,0.411828,0.036970,0.226430,31.516161,0.000000,31.625813,30.463011,0.000000,0.999935,0.000005,-3.975579,0.011210,44.243739
844,107.665710,77.006398,1.084431,0.016510,0.170987,16.044220,16.644727,32.992662,31.668629,16.644727,0.999873,0.000005,-1.252331,0.023310,82.008298
845,106.116275,102.250929,0.983170,0.045432,0.120466,6.940934,1.821238,8.765174,6.280199,1.821238,0.999659,0.000010,-4.447203,0.038584,96.093027
846,104.305341,129.015398,0.900039,0.029661,0.128134,0.221557,0.000000,0.330084,0.022635,0.000000,0.035190,0.004806,-0.593600,6.330177,3.102243
847,134.016645,101.740998,0.515534,0.015239,0.208846,33.409831,0.000000,34.064510,32.878928,0.000000,0.999905,0.000005,-1.543378,0.016313,52.033083
848,124.847502,120.167499,1.201337,0.036591,0.260457,10.263791,0.000000,10.300737,7.454798,0.000000,0.999658,0.000008,-4.213058,0.050265,138.085807
849,114.348567,115.412823,0.204380,0.044469,0.228442,0.592381,0.000000,0.617292,0.356730,0.000000,0.470877,1.473819,-2.666943,20.567358,10.983464
850,74.328378,99.429715,0.530885,0.027439,0.165667,0.000000,0.013185,0.017747,0.000000,0.000000,0.005335,0.001421,-0.128391,0.714281,0.200829
851,66.990667,95.483485,0.420717,0.046437,0.176333,0.000000,0.000000,0.000000,0.000000,0.000000,0.001203,0.000429,-0.038741,0.153565,0.032577
852,133.292186,95.066206,1.677096,0.021047,0.212306,42.942370,0.000000,43.051018,40.541249,0.000000,0.999853,0.000004,-1.935133,0.039749,153.862917
853,131.428452,121.778482,0.409728,0.019848,0.126960,10.787553,0.000000,11.179314,10.251277,0.000000,0.999701,0.000013,-2.407497,0.029200,49.473557
854,63.390922,115.291183,0.728151,0.012076,0.180870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000127,0.000023,-0.003711,0.017807,0.005286
855,108.684752,75.788160,1.699752,0.037077,0.184160,39.889261,0.101114,40.032650,36.443363,0.101114,0.999859,0.000004,-2.641321,0.031767,120.918066
856,82.604057,120.812667,0.532693,0.034849,0.201065,0.007084,0.000000,0.007239,0.000000,0.000000,0.001652,0.000372,-0.056256,0.267823,0.068876
857,77.539931,77.172561,0.617352,0.023193,0.136721,0.029830,1.588686,1.713320,1.135598,0.000000,0.999579,0.000021,-1.769525,0.023822,46.941008
858,121.888744,88.225641,0.318738,0.039525,0.262799,35.153999,0.000000,35.324022,34.382534,0.000000,0.999989,0.000002,-3.444222,0.002018,27.768358
859,68.640526,76.733306,1.543620,0.032260,0.119380,0.095944,1.024276,1.466678,0.444666,0.000000,0.152705,0.022514,-0.774238,14.636004,14.933512
860,127.610451,80.474903,1.340045,0.014801,0.162936,49.714698,0.000000,50.045741,48.449950,0.000000,0.999904,0.000003,-1.171141,0.025201,105.701421
861,97.434249,98.377672,0.869697,0.020348,0.124810,0.057915,1.071767,1.135121,0.587350,1.071767,0.999563,0.000162,-1.972147,0.038226,84.011334
862,64.659225,70.507463,0.382387,0.048023,0.251505,0.000000,0.398031,0.634888,0.103236,0.000000,0.123379,0.024752,-1.688080,6.140180,2.863435
863,52.602267,84.840429,1.319733,0.036751,0.275058,0.000000,0.003720,0.006073,0.000000,0.000000,0.004043,0.000762,-0.047330,0.532296,0.255441
864,59.459938,82.905200,0.411128,0.028022,0.136667,0.000000,0.000000,0.000000,0.000000,0.000000,0.001221,0.000522,-0.033024,0.137886,0.028731
865,102.091971,100.535887,0.696082,0.045110,0.242635,0.039152,4.792068,4.849036,3.197914,4.792068,0.999625,0.000016,-4.399314,0.032301,67.786408
866,121.710409,73.515069,1.852803,0.029393,0.208746,54.921776,0.000000,54.921888,51.470355,0.000000,0.999906,0.000003,-2.048759,0.027743,128.961695
867,64.032168,82.972819,1.581078,0.036124,0.227166,0.000000,0.069586,0.138022,0.004894,0.000000,0.024426,0.004609,-0.186714,3.403860,2.278278
868,104.770762,89.794395,1.377630,0.040902,0.201032,14.696590,6.294783,20.991830,17.905449,6.294783,0.999755,0.000007,-3.475578,0.038687,116.878051
869,56.774408,115.705264,0.598538,0.030273,0.126798,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,-0.000045,0.000195,0.000040
